ColoEnvPO,id,to,phone,fax,todaysdate,ship,shippingco,for,datereqd,comments,desc1,desc2,desc3,desc4,desc5,desc6,desc7,desc8,desc9,desc10,desc11,desc12,desc13,desc14,desc15,desc16,desc17,desc18,desc19,desc20,qty1,qty2,qty3,qty4,qty5,qty6,qty7,qty8,qty9,qty10,qty11,qty12,qty13,qty14,qty15,qty16,qty17,qty18,qty19,qty20,price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,price12,price13,price14,price15,price16,price17,price18,price19,price20,addchg1,addchg2,addchg3,addchg4,addchg5,addchg6,addchg7,addchg8,addchg9,addchg10,addchg11,addchg12,addchg13,addchg14,addchg15,addchg16,addchg17,addchg18,addchg19,addchg20,recvd1,recvd2,recvd3,recvd4,recvd5,recvd6,recvd7,recvd8,recvd9,recvd10,recvd11,recvd12,recvd13,recvd14,recvd15,recvd16,recvd17,recvd18,recvd19,recvd20,date1,date2,date3,date4,date5,date6,date7,date8,date9,date10,date11,date12,date13,date14,date15,date16,date17,date18,date19,date20
26120,9878,PDG,,,2014-03-17,,,Tewell Warren,2014-03-18,,Negs  from the PDF provided,,Belmont Abbey College,#10,,Thanks,JR,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2014-03-18,,,,,,,,,,,,,,,,,,,
0,4866,Best Cutting Die,,,2009-06-22,,,COLORADO ENVELOPE,2009-07-01,WHEN COMPLETED PLEASE FEDEX GROUND BACK TO US USING OUR # 200083598. THANKS, 1-1/8  X  4-1/2    WINDOW DIE, 1-3/8  X  4-1/4    WINDOW DIE, 1-1/8  X  4           WINDOW DIE,,,PLEASE REPAIR AN SHARPEN,,,,,,,,,,,,,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,Complete,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12529,4867,PDG,3034337360,,2009-06-19,,,Office Source,2009-06-22,,Can you please output 1 negs from the PDF that I will,e-mail to you,,#10 envelope,Teller's Cash Sheet,,"Thanks,",Don,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,#13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-06-19,,,,,,,,,,,,,,,,,,,
,4868,Tharco,8005251831,8003621124,2009-06-19,,,Boxes,2009-06-22,"Attention Matt

Will call for Monday 6/22/09

Thanks  Don",R-518 16 x 12 x 8,,,,,,,,,,,,,thanks,Don,,,,,,500,,,,,,,,,,,,,,,,,,,,447.30/m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-06-22,,,,,,,,,,,,,,,,,,,
12573,4869,PDG,3034337360,,2009-06-22,,,BestSkinsEver,2009-06-23,,Can you please output 1 negs from the PDF that I will,e-mail to you,,,Made in USA,,"Thanks,",Don,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-06-24,,,,,,,,,,,,,,,,,,,
12579,4870,PDG,3034337360,,2009-06-22,,,Professional Mortgage Solutions,2009-06-23,,Can you please output 1 negs from the PDF that I will,e-mail to you,,,Important Info Enclosed,,"Thanks,",Don,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-06-24,,,,,,,,,,,,,,,,,,,
12583,4871,PDG,3034337360,,2009-06-22,,,CU @ Boulder,2009-06-23,,Can you please output 2 negs from the PDF that I will,e-mail to you,,,Student Health Plans,,"Thanks,",Jeff,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$60.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-06-24,,,,,,,,,,,,,,,,,,,
11648,4472,PDG,3034337360,,2009-02-05,,,Integrity,2009-02-06,,Can you please output 1 neg from the PDF that I will,e-mail to you,,,Ownership Rewards,,"Thanks,",Jeff,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-02-06,,,,,,,,,,,,,,,,,,,
0,4473,Kaman,3033205240,3033205252,2009-02-05,,,RA Sprocket,2009-02-17,,Martin Sprocket 41E15 Bronze Brushed Idler Sprocket,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,13.25/each,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-02-23,,,,,,,,,,,,,,,,,,,
11636,4474,PDG,3034337360,,2009-02-05,,,Print Color,2009-02-06,,Can you please output 1 neg from the PDF that I will,e-mail to you,,,,,"Thanks,",Jeff,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-02-06,,,,,,,,,,,,,,,,,,,
11655,4475,National Envelope Corp,3033731780,,2009-02-06,,,Ross Printing,2009-02-06,,10 x 13 Open End 28# SKU# 4158,,,,,,,,,,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,$64.85/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-02-06,,,,,,,,,,,,,,,,,,,
11656,4476,PDG,3034337360,,2009-02-06,,,Ross Printing,2009-02-09,,Can you please output 1 neg from the PDF that I will,e-mail to you,,,Ohio Tobacco Quit Line,,"Thanks,",Jeff,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-02-06,,,,,,,,,,,,,,,,,,,
11657,4477,PDG,3034337360,,2009-02-06,,,Ross Printing,2009-02-09,,Can you please output 1 neg from the PDF that I will,e-mail to you,,,New Mexico Department Of Health,,"Thanks,",Jeff,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$15.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-02-06,,,,,,,,,,,,,,,,,,,
11658,4478,PDG,3034337360,,2009-02-06,,,Ross Printing,2009-02-09,,Can you please output 2 negs from the PDF that I will,e-mail to you,,,Awwa 6 x 9,,"Thanks,",Jeff,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-02-06,,,,,,,,,,,,,,,,,,,
0,4527,Unisource,,,2009-02-24,,,Inventory,2009-02-25,,23 x 35 white 60# 13 skids,,,,,,,,,,,,,,,,,,,,110500,,,,,,,,,,,,,,,,,,,,$60.75/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-02-25,,,,,,,,,,,,,,,,,,,
11776,4540,PDG,3034337360,,2009-03-02,,,Cenveo,2009-03-03,,Can you please output 1 neg from the PDF that I will,e-mail to you,,,First Advantage,,"Thanks,",Jeff,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-03-03,,,,,,,,,,,,,,,,,,,
11824,4541,XPEDX,3033752484,,2009-03-02,,,In Touch Today,2009-03-03,,23 x 35 Wausau Galaxy Gold #721389,,23 x 35 Spring Hill Orchid #116562,,19 x 25 White Cougar 60#  167938,,,,,,,,,,,,,,,,1000,,1000,,500,,,,,,,,,,,,,,,,$164.60/M,,$106.35/M,,$74.74/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,Complete,,Complete,,,,,,,,,,,,,,,,2009-03-03,,2009-03-03,,2009-03-03,,,,,,,,,,,,,,,
0,4543,Unisource,,,2009-03-02,,,Lots,2009-03-03,,23 x 35 white 60# Inventory,,17 1/2 x 22 1/2 white 60# AR PRT,,23 x 29 white 60#  Adams 12 Five,,23 x 35 28# White Image X,,,,,,,,,,,,,,8500,,14000,,7500,,8750,,,,,,,,,,,,,,$60.75/M,,$30.75/M,,$51.66/M,,$73.19/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,Complete,,Complete,,Complete,,,,,,,,,,,,,,2009-03-03,,2009-03-03,,2009-03-03,,2009-03-03,,,,,,,,,,,,,
11830,4544,PDG,3034337360,,2009-03-03,,,American Solutions,2009-03-04,,Can you please output 3 negs from the PDF that I will,e-mail to you,,,Vistar,,"Thanks,",Jeff,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,$39.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-03-03,,,,,,,,,,,,,,,,,,,
11830,4545,XPEDX,3033752484,,2009-03-03,,,American Solutions,2009-03-04,,23 x 35 solar white Classic Crest 70# Item# 853079,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,$277.61/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-03-04,,,,,,,,,,,,,,,,,,,
11831,4546,PDG,3034337360,,2009-03-02,,,Trident Prt,2009-03-03,,Can you please output 1 neg from the PDF that I will,e-mail to you,,,Boulder Boulder,,"Thanks,",Jeff,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-03-03,,,,,,,,,,,,,,,,,,,
11742,4547,Best Cutting Die,8476755522,,2009-03-03,,,Lange Jetway,2009-03-04,,4 x 2 3/4 MO Flex die Verticle,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$88.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-03-04,,,,,,,,,,,,,,,,,,,
11802,4548,PDG,3034337360,,2009-03-03,,,Frederic Printing,2009-03-04,,Can you please output 2 negs from the PDF that I will,e-mail to you,,,MoneyGram,,"Thanks,",Jeff,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$30.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-03-05,,,,,,,,,,,,,,,,,,,
11718,4549,National Envelope Corp,3033731780,,2009-03-04,,,IPS,,,#10 standard window black inside tint SKU# 45457,,,,,,,,,,,,,,,,,,,,40000,,,,,,,,,,,,,,,,,,,,$21.60/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-03-04,,,,,,,,,,,,,,,,,,,
10467,4550,Unisource,3033752413,,2009-03-04,,,Leanin Tree,2009-03-05,, 28 x 40 70# Whithall offset,,23 x 29 60# whitehall offset,,,,,,,,,,,,,,,,,,6500,,26000,,,,,,,,,,,,,,,,,,$98.13/M,,$51.66/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,Complete,,,,,,,,,,,,,,,,,,2009-03-05,,2009-03-05,,,,,,,,,,,,,,,,,
11857,4551,PDG,3034337360,,2009-03-04,,,CU @ Boulder,2009-03-05,,Can you please output 1 neg from the PDF that I will,e-mail to you,,,CU Presents,,"Thanks,",Jeff,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-03-06,,,,,,,,,,,,,,,,,,,
11860,4552,PDG,3034337360,,2009-03-05,,,Denver Public Schools,2009-03-06,,Can you please output 2 negs from the PDF that I will,e-mail to you,,,Health Records,,"Thanks,",Jeff,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-03-06,,,,,,,,,,,,,,,,,,,
11831,4553,PDG,3034337360,,2009-03-05,,,Trident Prt,2009-03-06,,Can you please output 1 neg from the PDF that I will,e-mail to you,,,Dicks Sporting goods,,"Thanks,",Jeff,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-03-06,,,,,,,,,,,,,,,,,,,
11870,4554,PDG,3034337360,,2009-03-06,,,Corp Express,2009-03-09,,Can you please shoot 2 negs from the Sample that I will,Send you!,,,Vail Resorts,,"Thanks,",Jeff,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-03-09,,,,,,,,,,,,,,,,,,,
0,4555,Colorado Plastic Products Inc.,3034439271,,2009-03-06,,,PHP,2009-03-10,Call and ask for Randy for Directions,32 x 48 sheets of high density Polyethline Plastic 1/4 thick,48 x 96 cut in 3rds,Price includes tax bring Check for $,,Don,,Tax,PAID WITH CHECK,,,Placed order with Buck,,,,,,,,,total price,6 sheets,,,,,,,,,,,,,,,,,,,,213.13,,,,,,,,,,,,,,,,,,,213.13,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-03-11,,,,,,,,,,,,,,,,,,,
11872,4556,PDG,3034337360,,2009-03-06,,,Leanin Tree,2009-03-07,,Can you please output 2 negs from the PDF that I will,e-mail to you,,,Leanin Tree,,"Thanks,",Jeff,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-03-09,,,,,,,,,,,,,,,,,,,
11846,4557,Unisource,,,2009-03-06,,,Corp Express/Image X/Fenske,2009-03-09,,23 x 35 White 60#,,23 x 29 White 60#,,17 1/2 x 22 1/2 White 70#,,,,,,,,,,,,,,,,25500,,1800,,23000,,,,,,,,,,,,,,,,$60.75/M,,$51.66/M,,$35.67/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,Complete,,Complete,,,,,,,,,,,,,,,,2009-03-09,,2009-03-09,,2009-03-09,,,,,,,,,,,,,,,
11803,4558,PDG,3034337360,,2009-03-06,,,Frederic Prt,2009-03-09,,Can you please output 1 neg from the PDF that I will,e-mail to you,,,University Of Colorado,,"Thanks,",Jeff,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-03-09,,,,,,,,,,,,,,,,,,,
11874,4559,PDG,3034337360,,2009-03-06,,,Colorado Label,2009-03-09,,Can you please output 1 neg from the PDF that I will,e-mail to you,,,Colorado Label,,"Thanks,",Jeff,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,$13.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-03-09,,,,,,,,,,,,,,,,,,,
0,4560,Best Cutting Die,8476755522,,2009-03-06,,,Eagle Direct,2009-03-08,"
SHIP IT BACK 2ND DAY FED-EX ON OUR ACCOUNT# 2000-8359-8.

THANKS,
JEFF",Double Window Die for a 3 7/8 x 9 1/8 envelope,3/4 x 3 - 1/2 L x 2 11/16 B  Top Window,1 1/2 x 4 - 4 5/16 L x 15/16 B Bottom window,For WR,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-03-12,,,,,,,,,,,,,,,,,,,
0,4561,"Mult Plastics, Inc.",8008486982,,2009-03-17,,,window film,2009-03-20,,skid 5 1/4 window film .115  18 od,EWF2009 Product (this is new and cleaner),,,,,Placed order with Dave,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-03-12,,,,,,,,,,,,,,,,,,,
11885,4562,PDG,3034337360,,2009-03-07,,,Leanin Tree,2009-03-09,,Can you please output 2 negs from the PDF that I will,e-mail to you,,,Leanin Tree,,"Thanks,",Jeff,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-03-09,,,,,,,,,,,,,,,,,,,
,4563,Tharco,8005251831,8003621124,2009-03-09,,,Boxes,2009-03-11,"Attention Matt

Thanks  Don",R-577 Quote # 2398153 21 3/4 x 12 1/2 x 9 7/8,,,,R-24 boxes 13 1/2  x12 1/2 x 10 1/4,,,,,,,,,thanks,Don,,,,,,1000,,,,500,,,,,,,,,,,,,,,,$640.00/m,,,,$510.70/m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,Complete,,,,,,,,,,,,,,,,2009-03-10,,,,2009-03-10,,,,,,,,,,,,,,,
0,4564,Unisource,,,2009-03-09,,,Inventory,2009-03-10,,23 x 35 white 60# 3 skids,,,,,,,,,,,,,,,,,,,,25500,,,,,,,,,,,,,,,,,,,,$60.75/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-03-10,,,,,,,,,,,,,,,,,,,
11886,4565,PDG,3034337360,,2009-03-09,,,Trident Prt,2009-03-10,,Can you please output 2 negs from the PDF that I will,e-mail to you,,,Dicks Sporting goods,,"Thanks,",Jeff,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,$26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-03-11,,,,,,,,,,,,,,,,,,,
0,4566,American Holt Corporation,7814409993,,2009-03-10,3nd Day,Best,RA,2009-03-13,Please ship 2nd Day if you have any questions please contact Don @ 303-460-1387,Mater Links For Dryer Chains  MO-6799,,,Need here at colorado envelope by Friday 3/13/09,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-03-13,,,,,,,,,,,,,,,,,,,
0,4785,Unisource,,,2009-05-18,,,inventory,2009-05-19,,23 x 35 White 60# White hall,,,,,,,,,,,,,,,,,,,,59500,,,,,,,,,,,,,,,,,,,,$60.75/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete,,,,,,,,,,,,,,,,,,,,2009-05-19,,,,,,,,,,,,,,,,,,,
